n	czas	liczbaPorównań
1000	14346	1000000
1000	14374	1000000
1000	15139	1000000
1000	14242	1000000
1000	14358	1000000
1000	14750	1000000
1000	14093	1000000
1000	15350	1000000
1000	14682	1000000
1000	14842	1000000
1000	14054	1000000
1000	14260	1000000
1000	14087	1000000
1000	15760	1000000
1000	14870	1000000
1000	14704	1000000
1000	14241	1000000
1000	14942	1000000
1000	13742	1000000
1000	13951	1000000
1000	14049	1000000
1000	14352	1000000
1000	13924	1000000
1000	13978	1000000
1000	13815	1000000
1000	13882	1000000
1000	14474	1000000
1000	14839	1000000
1000	14330	1000000
1000	13825	1000000
1000	14164	1000000
1000	14051	1000000
1000	16131	1000000
1000	13871	1000000
1000	14839	1000000
1000	13724	1000000
1000	13999	1000000
1000	14611	1000000
1000	14701	1000000
1000	13985	1000000
1000	15574	1000000
1000	14398	1000000
1000	15172	1000000
1000	14114	1000000
1000	14205	1000000
1000	14900	1000000
1000	14480	1000000
1000	13969	1000000
1000	14510	1000000
1000	14039	1000000
1000	14209	1000000
1000	15653	1000000
1000	13882	1000000
1000	14060	1000000
1000	14350	1000000
1000	14246	1000000
1000	13852	1000000
1000	14172	1000000
1000	14276	1000000
1000	14839	1000000
1000	14307	1000000
1000	14214	1000000
1000	14942	1000000
1000	14276	1000000
1000	15080	1000000
1000	14954	1000000
1000	14334	1000000
1000	14542	1000000
1000	13921	1000000
1000	15108	1000000
1000	14805	1000000
1000	13506	1000000
1000	14627	1000000
1000	14180	1000000
1000	13430	1000000
1000	14987	1000000
1000	13844	1000000
1000	14606	1000000
1000	14059	1000000
1000	15915	1000000
1000	14072	1000000
1000	14476	1000000
1000	14491	1000000
1000	14845	1000000
1000	14272	1000000
1000	14079	1000000
1000	13737	1000000
1000	13950	1000000
1000	14513	1000000
1000	13960	1000000
1000	13989	1000000
1000	14655	1000000
1000	13805	1000000
1000	13838	1000000
1000	13921	1000000
1000	15318	1000000
1000	14227	1000000
1000	13975	1000000
1000	13929	1000000
1000	14595	1000000
1000	13657	1000000
1000	14696	1000000
1000	13944	1000000
1000	14422	1000000
1000	14043	1000000
1000	14261	1000000
1000	14319	1000000
1000	14276	1000000
1000	13961	1000000
1000	13852	1000000
1000	13960	1000000
1000	13845	1000000
1000	14158	1000000
1000	13734	1000000
1000	13854	1000000
1000	14105	1000000
1000	14031	1000000
1000	15143	1000000
1000	14017	1000000
1000	13738	1000000
1000	14187	1000000
1000	14032	1000000
1000	14510	1000000
1000	13786	1000000
1000	14424	1000000
1000	13847	1000000
1000	14092	1000000
1000	14526	1000000
1000	15103	1000000
1000	14332	1000000
1000	15080	1000000
1000	14793	1000000
1000	13860	1000000
1000	15055	1000000
1000	13882	1000000
1000	13898	1000000
1000	13849	1000000
1000	14236	1000000
1000	15189	1000000
1000	13962	1000000
1000	15457	1000000
1000	14758	1000000
1000	13964	1000000
1000	14649	1000000
1000	14584	1000000
1000	14578	1000000
1000	13961	1000000
1000	14529	1000000
1000	14095	1000000
1000	14365	1000000
1000	14364	1000000
1000	14549	1000000
1000	14152	1000000
1000	15363	1000000
1000	15819	1000000
1000	13993	1000000
1000	14335	1000000
1000	14282	1000000
1000	14545	1000000
1000	13917	1000000
1000	13863	1000000
1000	14401	1000000
1000	13860	1000000
1000	13907	1000000
1000	13629	1000000
1000	14337	1000000
1000	13756	1000000
1000	13990	1000000
1000	14168	1000000
1000	14198	1000000
1000	13767	1000000
1000	14673	1000000
1000	13971	1000000
1000	14035	1000000
1000	14516	1000000
1000	14004	1000000
1000	14436	1000000
1000	14563	1000000
1000	14068	1000000
1000	14331	1000000
1000	13968	1000000
1000	14225	1000000
1000	14177	1000000
1000	14408	1000000
1000	14011	1000000
1000	14052	1000000
1000	13978	1000000
1000	13861	1000000
1000	14332	1000000
1000	14368	1000000
1000	14622	1000000
1000	13978	1000000
1000	15914	1000000
1000	14562	1000000
1000	15033	1000000
1000	14000	1000000
1000	14118	1000000
1000	14121	1000000
1000	13864	1000000
1000	13913	1000000
1000	14509	1000000
1000	13751	1000000
1000	14885	1000000
1000	13931	1000000
1000	13981	1000000
1000	15119	1000000
1000	14841	1000000
1000	14216	1000000
1000	13984	1000000
1000	14279	1000000
1000	14050	1000000
1000	14750	1000000
