n;Bn;Un;Ln;Cn;Dn;Dn-Cn
15000;63;5477;7;143357;200677;57320
15000;78;5557;8;152393;189978;37585
15000;138;5514;7;163096;186973;23877
15000;124;5545;7;195564;209783;14219
15000;192;5516;6;189332;202279;12947
15000;252;5555;6;178680;202806;24126
15000;119;5546;6;184704;190542;5838
15000;110;5612;8;144652;208813;64161
15000;79;5533;7;154572;200282;45710
15000;94;5556;7;159779;171407;11628
15000;141;5547;6;143391;180518;37127
15000;257;5571;11;150574;211260;60686
15000;22;5538;6;165165;173659;8494
15000;199;5477;7;132168;220737;88569
15000;154;5523;7;146903;205115;58212
15000;52;5569;8;138031;218827;80796
15000;190;5574;6;149490;177594;28104
15000;64;5513;7;144831;203459;58628
15000;337;5498;8;160048;217177;57129
15000;175;5468;7;144315;185058;40743
15000;53;5542;7;140745;178163;37418
15000;307;5465;7;165891;188759;22868
15000;118;5457;7;137814;213407;75593
